Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
Depeche Mode,2784128682,0,709,0,3,2022-09-08
Destiny's Child,2775187867,85729842,183,0,8,2022-09-17
Kenny Chesney,2772827226,2245144528,277,0,3,2022-08-10
Paul McCartney,2767237931,3009354038,918,0,5,2022-09-14
Eric Church,2759312007,29797048,286,0,4,2022-07-31
Dave,2749490108,2028969469,62,0,8,2022-09-08
Eric Clapton,2747310452,739286985,698,0,6,2022-09-15
KHEA,2743045197,517135427,81,0,9,2022-09-18
EXO,2725969831,1295854047,309,0,6,2022-09-19
Simon & Garfunkel,2718178664,498204068,172,0,5,2022-09-19
TINI,2717301467,503968381,71,0,8,2022-09-19
Norah Jones,2714788741,673800705,297,0,4,2022-08-11
Iggy Azalea,2703950724,1884183028,108,0,6,2022-09-08
George Michael,2703100036,6192858304,185,0,4,2022-09-19
Jay Wheeler,2701443856,4265483,146,0,3,2022-09-06
De La Ghetto,2695370320,302858918,158,0,7,2022-07-31
Nacho,2692139444,540870550,151,0,8,2022-08-26
bbno$,2691389490,2141323366,149,0,3,2022-09-18
The Beach Boys,2687373992,5360562962,1528,0,7,2022-08-08
The Game,2686873055,0,770,0,6,2022-08-17
Bibi und Tina,2680606898,0,3509,0,0,2022-06-30
Ufo361,2676667284,231077825,236,0,0,2022-09-08
R.E.M.,2665630567,352247735,590,0,5,2022-09-08
Aminé,2661288241,301358086,72,0,4,2022-08-06
Normani,2658470073,1097279258,17,1,4,2022-09-12
AJR,2649403045,163740766,86,0,5,2022-08-18
Christina Perri,2646573107,63757921,103,1,3,2022-08-13
X Ambassadors,2621685116,247574441,119,0,4,2022-08-25
Breaking Benjamin,2619625553,43371022,102,0,6,2022-07-31
"Earth, Wind & Fire",2606939541,93944725,385,1,5,2022-08-18
Hillsong UNITED,2599812772,141413805,366,0,2,2022-08-01
Rod Wave,2598143018,72180826,136,0,3,2022-09-08
Nick Jonas,2588951174,56096500,95,0,8,2022-09-20
Rich The Kid,2587583439,1860430328,166,0,4,2022-08-29
Jimi Hendrix,2585036209,1041574,506,0,5,2022-09-19
The Smiths,2582782853,0,143,0,6,2022-09-13
Dermot Kennedy,2581422010,0,78,0,5,2022-07-31
SEVENTEEN,2580817471,0,150,0,1,2022-09-19
Milky Chance,2580709652,8400414,88,1,4,2022-07-31
Volbeat,2579498906,0,205,0,5,2022-07-31
TOTO,2575874146,3027807,391,1,4,2022-08-08
Dimitri Vegas & Like Mike,2572306129,102871980,267,0,4,2022-07-31
Sabrina Carpenter,2569519803,148923932,99,0,6,2022-09-16
Robbie Williams,2557179105,22418993,429,0,6,2022-09-17
Matoma,2555408299,300374829,126,0,5,2022-07-31
Years & Years,2550829792,90524082,112,0,7,2022-07-31
Mitski,2547259202,23137320,73,0,6,2022-09-19
Jon Bellion,2543285648,344351614,84,0,5,2022-07-31
The xx,2542777584,10468775,77,0,5,2022-07-31
Van Morrison,2542234398,95529950,864,0,4,2022-09-13
Nelly Furtado,2534235066,287364576,211,0,6,2022-09-15
Luciano,2526245631,440387420,157,0,0,2022-09-20
B.o.B,2525038408,1274578007,431,0,7,2022-07-31
T-Pain,2522886931,3095732093,215,0,8,2022-07-31
Lynyrd Skynyrd,2519169676,599968,362,0,4,2022-09-07
Stormzy,2500482085,997592500,69,0,7,2022-08-21
Sfera Ebbasta,2496062465,1276058719,89,0,1,2022-08-27
Rick Ross,2491175711,4970243020,340,0,4,2022-07-31
Cali Y El Dandee,2490592473,214013480,74,0,9,2022-07-31
Kid Ink,2489130300,2816280604,198,0,8,2022-07-31
Shinedown,2479535960,13718335,197,0,6,2022-09-04
Natanael Cano,2475463509,225114570,135,0,6,2022-09-12
Van Halen,2466995848,24281,207,0,6,2022-09-19
Limp Bizkit,2466419030,3218081,134,0,6,2022-08-01
The Fray,2463436621,4486342,98,0,5,2022-07-31
Samra,2461380410,403500820,120,0,3,2022-09-19
The Cranberries,2460868337,2725658,264,0,4,2022-08-27
Black Sabbath,2459611513,13968959,286,0,4,2022-09-07
All Time Low,2459397211,1585127,212,0,2,2022-07-31
DNCE,2458758461,54841242,36,1,4,2022-07-31
El Fantasma,2457887099,65281602,210,0,6,2022-08-21
Damso,2448621601,761548765,95,0,1,2022-09-15
Andy Grammer,2431629519,4962513,79,0,5,2022-07-31
Rage Against The Machine,2430839934,0,119,0,7,2022-08-14
Luan Santana,2430000476,247964502,214,0,4,2022-09-19
Aitana,2428820555,19883705,74,0,7,2022-09-19
Juan Magán,2428032283,871230826,208,0,5,2022-07-31
KYLE,2420485330,166464714,112,0,5,2022-07-31
Keith Urban,2416463388,380461137,205,0,6,2022-08-21
Joel Corry,2415759211,63258648,153,0,5,2022-07-31
Daryl Hall & John Oates,2405798697,33973,555,0,6,2022-07-31
Sabaton,2399679054,0,313,0,2,2022-09-15
MGMT,2396610713,1038472738,86,0,5,2022-07-31
Kodaline,2386258538,283421137,125,0,4,2022-09-05
Aya Nakamura,2386108307,151618177,68,0,5,2022-09-19
Plan B,2383828013,578240022,95,0,7,2022-07-31
Rag'n'Bone Man,2382013837,79032903,138,0,3,2022-07-31
Shaggy,2381998464,477705428,433,0,5,2022-07-31
Of Monsters and Men,2380280721,3318019,63,0,5,2022-09-13
Rod Stewart,2379541913,502097842,731,0,4,2022-08-09
The White Stripes,2377686382,0,172,1,3,2022-08-11
Hollywood Undead,2373538882,21078180,143,0,3,2022-08-01
Mac DeMarco,2366844862,75712651,150,0,4,2022-09-18
Gerardo Ortiz,2362366616,564161466,257,0,3,2022-07-31
A Day To Remember,2357711163,0,135,0,4,2022-07-31
Quinn XCII,2350578227,155201156,85,0,5,2022-07-31
Ice Cube,2344900860,287402247,292,0,5,2022-07-31
Clairo,2340931623,751281514,25,0,7,2022-07-31
Swedish House Mafia,2340727040,12820948,58,0,6,2022-07-31
League of Legends,2340011159,1934825362,495,0,6,2022-09-18
Eladio Carrion,2339040331,404020084,147,0,4,2022-09-13
Lofi Fruits Music,2329999921,106066268,1010,0,0,2022-07-31
Prince,2327965052,3281243,835,0,5,2022-08-24
Os Barões Da Pisadinha,2325967532,571967470,160,0,6,2022-07-31
Brytiago,2325768055,2046857334,85,0,5,2022-09-08
Casper Magico,2324673947,194400208,95,0,5,2022-07-31
José José,2323517374,149057243,525,0,2,2022-07-31
Evanescence,2320082358,0,110,0,4,2022-09-12
Sublime,2317831260,0,219,0,5,2022-07-31
Die drei !!!,2317017983,0,3275,0,0,2022-07-31
Tom Odell,2313290532,43963745,131,1,3,2022-09-10
GIMS,2311019564,294623436,179,0,4,2022-07-31
Chencho Corleone,2307620270,1850768207,21,0,6,2022-09-11
Cigarettes After Sex,2297049191,0,30,0,6,2022-08-30
Bryant Myers,2296987693,2211793211,102,0,5,2022-07-31
Axwell /\ Ingrosso,2295622491,0,47,1,5,2022-07-31
Red Velvet,2293993571,14995635,131,0,5,2022-09-19
George Strait,2293305564,36161867,444,0,2,2022-07-31
Carlos Rivera,2291158958,507636763,210,0,5,2022-07-31
Carrie Underwood,2287677862,390796945,170,0,3,2022-09-18
Enya,2281284138,342937830,145,0,4,2022-08-10
Pedro Capó,2277124460,181475492,71,1,5,2022-07-31
girl in red,2264464619,6043639,29,0,6,2022-09-15
Aretha Franklin,2259373196,8960966,900,0,4,2022-07-31
Ozzy Osbourne,2258551820,66842960,231,0,3,2022-09-19
Scorpions,2257465297,0,345,0,5,2022-09-05
Nas,2255035088,890352457,339,0,4,2022-09-04
ODESZA,2251141203,128174755,170,0,4,2022-07-31
Joyner Lucas,2250754960,146002559,87,0,6,2022-09-11
Ali Gatie,2236769112,2270763,54,0,4,2022-08-19
Mustard,2234505311,1986562902,74,0,4,2022-07-31
PnB Rock,2228993718,1859997166,116,0,5,2022-09-12
Zoé,2227159139,12125790,193,0,6,2022-07-31
Goodboys,2225051739,5153122,44,0,4,2022-07-31
KISS,2222550482,0,510,0,4,2022-08-17
WALK THE MOON,2213255179,103849073,98,1,3,2022-07-31
Danna Paola,2212142768,72725046,103,0,6,2022-09-19
Don Diablo,2200628570,105584811,248,0,1,2022-07-31
Jorja Smith,2195160357,465601602,81,0,4,2022-07-31
Los Tigres Del Norte,2195087945,182374635,639,0,1,2022-07-31
Gryffin,2193509712,482869625,146,0,6,2022-07-31
RAYE,2192939509,575319981,95,0,4,2022-07-31
Junior H,2190309741,300889299,104,0,5,2022-09-12
The Smashing Pumpkins,2172954938,0,418,0,6,2022-09-19
Sum 41,2172099956,7414337,128,0,5,2022-07-31
Alan Jackson,2168305190,90085724,269,0,2,2022-08-11
Marco Antonio Solís,2167056600,686549494,201,0,5,2022-07-31
WILLOW,2162026224,405412770,76,0,3,2022-09-16
Ella Mai,2161392693,334957558,52,0,6,2022-09-11
Marilyn Manson,2156699936,56980790,227,0,4,2022-07-31
Joey Bada$$,2149110284,767949252,119,0,4,2022-09-11
Lord Huron,2147142104,0,76,1,3,2022-07-31
Sleeping At Last,2146420809,727285,298,0,5,2022-08-01
Astrid S,2145022194,131055141,107,0,5,2022-09-04
TKKG,2141387313,0,4398,0,0,2022-07-31
Sido,2141006547,522502437,368,0,2,2022-07-31
TOMORROW X TOGETHER,2136382863,0,69,0,6,2022-09-10
Colbie Caillat,2133775510,126624751,105,0,4,2022-09-15
Banda El Recodo,2127016589,2232807,601,0,3,2022-08-01
Rascal Flatts,2124400562,53441983,248,0,5,2022-07-31
Dolly Parton,2122503850,173626251,978,0,4,2022-08-09
3 Doors Down,2122358023,631510,144,0,3,2022-07-31
Wale,2117359552,1520275780,353,0,4,2022-09-07
Moneybagg Yo,2117349736,1313168750,266,0,1,2022-07-31
Electric Light Orchestra,2112872480,696381,305,0,4,2022-07-31
Two Door Cinema Club,2112307879,1980119,142,0,4,2022-08-12
Hardwell,2109914592,360947672,462,0,1,2022-07-31
Brent Faiyaz,2107146096,905946624,63,0,7,2022-07-31
Chase Atlantic,2105375619,11762990,75,0,4,2022-07-31
Kontra K,2103318066,219924638,301,0,1,2022-07-31
iann dior,2102922842,2291368890,55,0,5,2022-07-31
Powfu,2092377791,186520817,73,1,1,2022-07-31
Bethel Music,2092086801,0,312,0,0,2022-07-31
JID,2089652973,797904614,70,0,4,2022-09-07
Louis Tomlinson,2086972274,0,43,0,4,2022-09-16
The Clash,2085949767,0,223,0,3,2022-09-08
Noriel,2083887397,1469283474,94,0,4,2022-07-31
gnash,2083638974,303083754,84,1,2,2022-07-31
MC Kevinho,2082054602,296844156,74,0,5,2022-07-31
David Bisbal,2078820031,432972620,248,0,4,2022-08-03
Pharrell Williams,2077074226,6537561403,110,1,3,2022-07-31
Gera MX,2071389389,527168213,184,0,1,2022-08-28
Kacey Musgraves,2070185118,150866265,126,0,5,2022-09-19
Luísa Sonza,2068349876,9401615,66,0,5,2022-09-19
Leon Bridges,2064776224,809960704,78,0,5,2022-07-31
Chief Keef,2064287110,625082456,575,0,5,2022-09-18
Martin Jensen,2063060185,304861454,79,0,4,2022-07-31
Stromae,2062404120,60545155,57,0,4,2022-08-12
Annie Lennox,2062340171,9754428,306,0,3,2022-09-02
Ruth B.,2057984888,0,48,0,5,2022-07-31
NEFFEX,2056583318,824121,213,0,3,2022-07-31
Duran Duran,2052957469,0,483,0,5,2022-08-09
Jaden,2050432169,1460830445,110,0,2,2022-07-31
Bing Crosby,2043924592,8462632,1345,0,7,2022-07-31
Seeb,2043477578,1673715968,112,0,5,2022-07-31
Ms. Lauryn Hill,2040646969,353528858,89,0,5,2022-08-11
Arizona Zervas,2039690926,35697483,37,1,2,2022-07-31
Santa Fe Klan,2039138179,541493142,217,0,5,2022-08-18
Miracle Tones,2031004961,0,126,0,0,2022-07-31
Regard,2029133220,0,42,1,4,2022-07-31
Westlife,2026058221,39635,231,0,3,2022-09-09
The Kooks,2024254904,0,249,0,5,2022-09-11
Mike WiLL Made-It,2021477415,345422787,144,0,6,2022-08-15
Elevation Worship,2019584095,22054975,255,0,2,2022-07-31
Internet Money,2018584676,372681646,43,1,5,2022-07-31
M83,2015140978,16290793,237,0,3,2022-07-31
Portugal. The Man,2003183409,50754902,195,1,1,2022-07-31
R. Kelly,2002013664,409379157,363,0,2,2022-07-31
Saweetie,2000089741,595752335,73,0,4,2022-09-01
Dilsinho,1996437258,411783927,195,0,5,2022-09-12
Charlie Brown Jr.,1995556424,39048849,278,0,4,2022-08-17
Ha*Ash,1989802115,490646007,131,0,4,2022-09-01
Gwen Stefani,1988899782,1073941569,99,0,4,2022-09-17
Mötley Crüe,1986516487,0,238,0,5,2022-09-19
Jessie Reyez,1982350944,512534113,73,0,4,2022-09-16
Owl City,1980070565,93709322,111,0,2,2022-07-31
Apache 207,1977481576,126206018,46,0,5,2022-07-31
Nekfeu,1977245131,518867756,98,0,0,2022-08-20
Queens of the Stone Age,1973861331,0,140,0,5,2022-07-31
Cosculluela,1973500286,1068089499,159,0,5,2022-07-31
Keane,1971059662,607099,197,0,2,2022-07-31
Tee Grizzley,1970417387,196499343,145,0,3,2022-07-31
Ezhel,1969446772,194725091,64,0,3,2022-09-08
Gigi D'Agostino,1961013546,1153536,423,1,3,2022-07-31
DMX,1959946681,264430121,304,0,4,2022-07-31
Bruno & Marrone,1959875993,230637427,428,0,2,2022-07-31
Yung Gravy,1959097379,10002713,78,0,6,2022-09-18
Desiigner,1955514520,548795846,55,1,2,2022-07-31
Timmy Trumpet,1954597157,104577459,183,0,3,2022-07-31
Thirty Seconds To Mars,1954498523,47931016,84,0,4,2022-09-04
Denzel Curry,1952649461,528744853,137,0,4,2022-09-06
Jay Chou,1951129090,28029086,327,0,0,2022-07-31
Chelsea Cutler,1950899986,452181568,95,0,4,2022-07-31
Alex Rose,1949166634,537789626,82,0,4,2022-07-31
Olly Murs,1946478736,47818752,179,0,4,2022-09-16
Vampire Weekend,1945573015,0,74,0,2,2022-07-31
Miranda Lambert,1938843377,212318887,208,0,5,2022-09-17
Santana,1933599979,276396587,714,0,4,2022-07-31
The Goo Goo Dolls,1933399868,315062,279,1,3,2022-09-07
Aloe Blacc,1930856165,251730315,217,0,4,2022-07-31
Wham!,1930785286,861833,36,0,2,2022-08-23
Willy William,1930491419,355230752,82,1,3,2022-07-31
MAX,1929553352,143407145,144,0,5,2022-09-10
Dierks Bentley,1923717525,173377106,153,0,6,2022-08-01
The Who,1923165495,0,881,0,6,2022-09-11
Granular,1919564121,0,574,0,2,2022-07-31
Stefflon Don,1914806534,345633899,86,0,6,2022-08-18
La Oreja de Van Gogh,1912311819,66113877,183,0,3,2022-07-31
OMI,1908116986,131136335,45,1,2,2022-07-31
Alice In Chains,1902125921,171453,162,0,5,2022-09-03
Giveon,1901077447,589310224,32,0,4,2022-09-12
John Lennon,1900843192,5769602,498,0,3,2022-08-16
Los Temerarios,1899241961,183284,322,0,0,2022-08-06
Loud Luxury,1898927877,89734246,135,0,4,2022-07-31
Ghostemane,1897237706,68873586,140,0,3,2022-08-19
Snow Patrol,1897170969,0,191,0,3,2022-08-09
beabadoobee,1893281518,12412498,76,1,2,2022-09-06
Lee Brice,1893216404,14898633,97,0,6,2022-07-31
Trevor Daniel,1893164011,207826260,50,1,2,2022-07-31
James TW,1892634482,8164452,44,0,5,2022-07-31
Louis Armstrong,1888813523,16402469,2311,0,4,2022-07-31
Beret,1887419481,54947411,50,0,3,2022-07-31
Shania Twain,1885781696,182041753,187,0,4,2022-09-17
Calle 13,1883809656,131655648,81,0,5,2022-07-31
Booba,1880281066,678185823,247,0,0,2022-07-31
Niska,1879295266,617175106,105,0,1,2022-07-31
Ciara,1875900807,505417778,158,0,5,2022-08-16
Incubus,1872492242,2113242,229,0,3,2022-07-31
MØ,1867886470,3388886631,124,0,4,2022-07-31
Mon Laferte,1867546187,328196750,143,0,4,2022-08-31
Conor Maynard,1867293612,371487728,137,0,3,2022-07-31
Ella Fitzgerald,1865209139,12514602,2120,0,2,2022-08-09
Sting,1864917481,294461183,495,0,3,2022-08-15
Vintage Culture,1863460359,35304995,205,0,2,2022-07-31
Kevin Roldan,1860423142,479771429,147,0,2,2022-07-31
Blueface,1856041642,617180661,98,0,4,2022-09-18
Nat King Cole,1853717658,8675904,1129,0,3,2022-07-31
Yo Gotti,1852943310,1311194792,494,0,2,2022-07-31
Lady A,1850637526,138695513,229,0,5,2022-07-31
Two Feet,1850083119,43492840,67,0,3,2022-07-31
Thalia,1849494711,356801594,320,0,2,2022-09-19
Taio Cruz,1849088545,27054116,94,0,4,2022-08-19
Old Dominion,1846826397,5326630,85,0,7,2022-08-09
Dean Martin,1839950779,11973306,696,0,5,2022-07-31
Oliver Tree,1839830515,47958499,63,0,4,2022-08-31
John Newman,1839265446,386221358,95,0,4,2022-07-31
CRO,1837987132,186326829,163,0,2,2022-08-19
PNAU,1837143273,4795294,113,1,3,2022-09-18
ANAVITÓRIA,1836487394,247466567,79,0,3,2022-09-18
Sara Bareilles,1829209796,82546640,194,0,5,2022-09-15
Michael Silverman,1827043186,213673,972,0,0,2022-07-31
Burna Boy,1821371663,1671152465,174,0,4,2022-09-19
Surfaces,1819802511,0,70,0,1,2022-07-31
Chayanne,1817989260,144005891,236,0,5,2022-07-31
a-ha,1815725128,16092,401,1,1,2022-07-31
The Jackson 5,1814148449,2468100,347,0,5,2022-08-24
Fergie,1813098972,206140442,82,0,5,2022-07-31
The Pussycat Dolls,1813039711,26129902,56,0,5,2022-09-02
Roxette,1810253500,306912,465,0,4,2022-08-14
Leona Lewis,1806698865,58137114,116,0,5,2022-09-18
Matuê,1805676631,243428148,33,0,6,2022-08-31
Natalia Lafourcade,1805496403,936009979,183,0,4,2022-09-02
Mora,1805158864,348503971,76,0,2,2022-08-16
Dynoro,1804491187,378295,18,1,4,2022-07-31
Los Tucanes De Tijuana,1804035346,5231518,737,0,1,2022-08-01
AJ Tracey,1802672139,215084250,98,0,6,2022-08-21
LUDMILLA,1799762330,466090779,178,0,2,2022-09-19
Sean Kingston,1798965211,150341106,142,0,5,2022-07-31
Guaynaa,1797383497,132443509,64,0,5,2022-07-31
Steve Lacy,1794556932,632508531,46,0,4,2022-09-20
Jon Pardi,1793562040,161230228,78,0,5,2022-09-05
fun.,1792718438,203986,26,0,3,2022-07-31
Ben Howard,1790617769,1125328,60,0,4,2022-09-20
Tears For Fears,1785149316,2601887,219,0,4,2022-09-20
Mike Perry,1784903805,26675234,54,0,3,2022-07-31
Lalo Ebratt,1773683414,84141405,60,0,7,2022-07-31
Oliver Heldens,1773243390,253517935,145,0,3,2022-07-31
Martin Solveig,1772167780,8507378,246,0,5,2022-07-31
Nicki Nicole,1771051853,466761461,49,0,3,2022-09-16
Darell,1768464822,4780307242,133,0,4,2022-07-31
CHVRCHES,1766235284,5546013,118,0,2,2022-09-14
Julieta Venegas,1760785705,701911855,152,0,6,2022-09-18
Kylie Minogue,1760059922,122606148,906,0,2,2022-09-05
Gente De Zona,1756631831,1403404663,126,0,3,2022-07-31
Deftones,1750174564,189667,139,0,2,2022-08-19
Melendi,1749960220,190148048,184,0,2,2022-07-31
Seether,1748931621,0,156,0,3,2022-07-31
Baby Keem,1748313318,64281837,51,0,3,2022-09-04
DJ Luian,1747734090,2738823311,52,0,4,2022-07-31
MKTO,1746963141,14429939,29,0,2,2022-07-31
Mambo Kingz,1745059565,2499618695,37,0,5,2022-07-31
Lionel Richie,1743379490,53528648,297,0,6,2022-08-25
IU,1743026779,105019595,165,0,4,2022-09-18
Lil Dicky,1741821934,127683917,23,0,5,2022-07-31
Intocable,1741554669,20985489,317,0,2,2022-08-14
Sin Bandera,1738742132,124804809,124,0,6,2022-07-31
Daya,1735378090,2131830037,45,0,4,2022-07-31
Chris Young,1733928126,108950594,112,0,4,2022-07-31
Tech N9ne,1733262095,664567305,451,0,2,2022-07-31
Arcade Fire,1731328594,0,113,0,3,2022-07-31
Rich Brian,1727170764,624625192,57,0,4,2022-09-19
Mother Mother,1726527097,83041,142,0,5,2022-07-31
Yusuf / Cat Stevens,1726512987,19118011,332,0,5,2022-09-16
Kina,1723333633,4106807,39,0,3,2022-07-31
MAGIC!,1721727530,146286450,53,1,2,2022-07-31
Greeicy,1720259336,50335675,60,0,5,2022-08-31
Simple Plan,1719642286,2131621,128,0,4,2022-09-05
Sofía Reyes,1719104610,226357631,61,0,3,2022-09-10
Dido,1718183561,5698325,195,0,4,2022-07-31
Paul Simon,1715931271,75838481,370,0,3,2022-07-31
Dennis Lloyd,1715531867,0,48,0,3,2022-07-31
Alfredo Olivas,1713355709,67166813,103,0,3,2022-07-31
Wolfgang Amadeus Mozart,1712607320,5275689,11475,0,0,2022-07-31
Tiago PZK,1709750883,332932512,58,0,4,2022-08-26
Pineapple StormTv,1707906194,154195292,215,0,3,2022-07-31
DENNIS,1705396553,126587183,298,0,4,2022-07-31
YUNGBLUD,1703601205,463620252,92,0,2,2022-09-04
Summer Cem,1702570591,341863678,200,0,2,2022-07-31
Sade,1701116678,1452396,113,0,4,2022-09-05
Eslabon Armado,1699114472,13724576,90,0,2,2022-07-31
Juan Luis Guerra 4.40,1695901682,810878616,208,0,2,2022-09-16
La Adictiva Banda San José de Mesillas,1695830013,44189841,128,0,4,2022-07-31
KSI,1695358834,27838370,116,0,4,2022-09-01
Bullet For My Valentine,1694804867,31403,177,0,2,2022-08-23
Selena,1693151147,2894906,149,0,6,2022-09-01
Jack Ü,1685398303,956750,37,0,4,2022-07-31
Nina Simone,1682102220,25050969,551,0,3,2022-08-05
Kollegah,1676987056,109522515,569,0,0,2022-08-07
Bea Miller,1675218584,1164003726,42,0,4,2022-08-18
Nipsey Hussle,1669099192,270570506,277,0,3,2022-07-31
Cyndi Lauper,1668152364,7113334,219,0,3,2022-09-15
Juicy J,1666667173,3759718067,450,0,2,2022-07-31
Max Richter,1666056201,43626,992,0,0,2022-07-31
Los Bukis,1665301634,7360162,252,0,1,2022-07-31
Otis Redding,1664195345,150323645,337,0,3,2022-07-31
Dominic Fike,1660702806,138302706,30,0,3,2022-07-31
Kungs,1657734274,29885479,65,0,3,2022-07-31
*NSYNC,1656401553,25912106,89,0,5,2022-09-18
Jasmine Thompson,1651309359,959672838,116,0,3,2022-07-31
Willie Nelson,1649521446,312985189,1571,0,4,2022-07-31
Tina Turner,1649451408,24463747,253,0,6,2022-08-24
Yellow Claw,1646156795,88256933,263,0,2,2022-07-31
Lily Allen,1643394520,348477457,115,0,4,2022-08-14
will.i.am,1641904383,2159351268,103,0,5,2022-08-20
Sasha Alex Sloan,1637138656,356062491,55,0,3,2022-09-13
Silk Sonic,1635262002,0,11,0,3,2022-08-28
NCT 127,1633145081,47037951,138,0,2,2022-09-19
deadmau5,1633102099,85895158,456,0,1,2022-07-31
Benjamin Blümchen,1632183811,0,6109,0,0,2022-07-31
Beastie Boys,1631483593,686794,307,0,4,2022-07-31
Ferrugem,1630991997,316721915,171,0,1,2022-07-31
Trueno,1625212488,89783830,55,0,5,2022-08-31
Tom Walker,1621938619,104229160,95,0,4,2022-08-28
Angus & Julia Stone,1621262836,62072067,128,0,3,2022-07-31
AURORA,1620462028,392531879,105,0,3,2022-09-17
Wallows,1617420796,0,50,0,5,2022-07-31
Bill Withers,1616684397,423140273,120,0,4,2022-07-31
Camila,1614888793,118840374,100,0,4,2022-07-31
The National,1612789597,101050937,209,0,1,2022-09-10
ZZ Top,1609888997,84795,279,0,4,2022-09-16
KALEO,1609214165,0,29,0,3,2022-07-31
Tracy Chapman,1603955839,86329695,102,0,4,2022-08-18
Mary J. Blige,1603823302,2072649813,395,0,2,2022-07-31
Jowell & Randy,1598782161,882987056,173,0,3,2022-07-31
Brad Paisley,1594358812,80512829,233,0,2,2022-07-31
The Score,1590492855,2029439,66,0,5,2022-07-31
Los Enanitos Verdes,1589791667,8973461,190,0,4,2022-09-14
Gavin James,1589066720,67835427,119,0,3,2022-07-31
Lenny Kravitz,1586945030,58520527,269,0,4,2022-08-05
Tungevaag,1584806652,5391617,82,0,5,2022-07-31
Frédéric Chopin,1580987576,1163362,9790,0,0,2021-08-06
Ramin Djawadi,1576132499,494471,1024,0,1,2022-08-09
Tyler Childers,1575879683,31875984,62,0,5,2022-08-26
Brett Young,1574718551,18238191,70,0,4,2022-07-31
BØRNS,1573109788,17790746,44,0,3,2022-07-31
Dadju,1570782544,449080594,112,0,1,2022-07-31
Audioslave,1568164155,0,72,0,5,2022-07-31
Olivia O'Brien,1567268080,1463363938,55,0,3,2022-08-05
Sleepy Hallow,1566837791,291033854,64,0,2,2022-07-31
Banda Los Recoditos,1564662688,19005086,252,0,2,2022-08-01
Kiiara,1561088103,289081952,73,0,3,2022-09-04
Mr. Probz,1559887114,237955809,36,0,4,2022-09-19
Sufjan Stevens,1559839764,48019760,439,0,3,2022-09-09
Alvaro Soler,1558833906,46416870,101,0,4,2022-07-31
Pink Sweat$,1558351053,58475674,57,0,3,2022-07-31
King Von,1557609173,158906906,78,0,3,2022-07-31
Diego & Victor Hugo,1557334571,23088565,139,0,6,2022-09-18
Joaquín Sabina,1554442660,130526953,348,0,0,2022-07-31
Ella Henderson,1553412941,369125542,115,0,3,2022-09-16
Blur,1551692610,20342,356,0,2,2022-08-08
Ofenbach,1550940003,104912624,83,0,4,2022-07-31
Lykke Li,1549963169,100408098,105,0,4,2022-07-31
Cher,1549863381,14500960,399,0,3,2022-09-19
Lil Kleine,1549145488,347865948,120,0,0,2022-09-16
(G)I-DLE,1549107296,4846360,68,0,5,2022-09-19
Skepta,1545159107,1544272815,146,0,2,2022-09-12
Falling In Reverse,1544740243,0,65,0,2,2022-07-31
Aleman,1543845576,407519473,151,0,2,2022-07-31
Will Smith,1542201832,22969261,90,0,6,2022-07-31
Kris Kross Amsterdam,1540779399,11311576,45,0,2,2022-07-31
Salmo,1539540910,645180334,162,0,3,2022-08-16
Toby Keith,1539260688,22035715,302,0,4,2022-08-12
Timbaland,1538740572,2172817649,156,0,5,2022-08-09
Beach House,1537837100,2101262,107,0,2,2022-09-06
Snakehips,1537501501,114181875,80,0,3,2022-07-31
YOASOBI,1533599947,0,28,0,5,2022-07-31
ITZY,1531845087,0,70,0,6,2022-09-20
Pusha T,1530816646,1669008782,123,0,2,2022-08-05
Spice Girls,1530766752,705376,106,0,4,2022-09-05
Río Roma,1527525300,130932569,105,0,4,2022-07-31
Bo Burnham,1527212746,273881,103,0,2,2022-09-02
Oh Wonder,1522982587,700789793,71,0,5,2022-08-09
UB40,1520229534,2093977,436,0,3,2022-07-31
Moby,1519804913,294525726,836,0,3,2022-07-31
Andrea Bocelli,1518057850,63860756,592,0,3,2022-09-08
Cash Cash,1516224156,122082586,163,0,4,2022-07-31
Zendaya,1514581338,742506843,42,0,3,2022-07-31
Topic,1514111730,995946509,70,0,1,2022-07-31
John Denver,1512762331,8472293,594,0,3,2022-07-31
BONES,1511219763,192510411,653,0,1,2022-07-31
Natiruts,1510821450,21690077,216,0,1,2022-07-31
TLC,1510571033,235596205,173,0,3,2022-09-09
Gustavo Cerati,1509810094,204209748,163,0,3,2022-07-31
LIT killah,1509081134,190156783,45,0,2,2022-08-28
Alina Baraz,1506524901,29078869,76,0,3,2022-08-09
Lauren Daigle,1506508915,145987139,67,0,3,2022-07-31
Official HIGE DANdism,1506088256,0,144,0,4,2022-07-31
Pixies,1505325659,0,856,0,3,2022-09-04
Dread Mar I,1503218350,37569370,160,0,2,2022-07-31
Mc Don Juan,1500472460,567652551,155,0,3,2022-07-31
Thiaguinho,1498417630,225812024,249,0,0,2022-07-31
Evaluna Montaner,1495747834,133138325,46,0,4,2022-07-31
Capo Plaza,1494955350,798426969,78,0,1,2022-09-04
MF DOOM,1494366089,102412043,424,0,2,2022-07-31
Petit Biscuit,1494185761,22498758,86,0,1,2022-07-31
Gloria Trevi,1493626591,179247041,278,0,2,2022-09-19
Gym Class Heroes,1493450694,0,75,0,3,2022-07-31
